Mfr Part #;Description;Technology;Drain to Source Voltage (Vdss);"Current - Continuous
 Drain (Id) @ 25°C";Rds On (Max) @ Id, Vgs
IRFP254B;N-CHANNEL  POWER MOSFET;MOSFET (Metal Oxide);250 V;25A (Tc);140mOhm @ 12.5A, 10V
FQB27N25TM;N-CHANNEL  POWER MOSFET;MOSFET (Metal Oxide);250 V;25.5A (Tc);131mOhm @ 25.5A, 10V
FDPF44N25T;MOSFET N-CH 250V 44A TO220F;MOSFET (Metal Oxide);250 V;44A (Tc);69mOhm @ 22A, 10V
FDPF33N25T;MOSFET N-CH 250V 33A TO220F;MOSFET (Metal Oxide);250 V;33A (Tc);94mOhm @ 16.5A, 10V
FDP33N25;MOSFET N-CH 250V 33A TO220-3;MOSFET (Metal Oxide);250 V;33A (Tc);94mOhm @ 16.5A, 10V
IRFS4229TRLPBF;MOSFET N-CH 250V 45A D2PAK;MOSFET (Metal Oxide);250 V;45A (Tc);48mOhm @ 26A, 10V
IRFP264PBF;MOSFET N-CH 250V 38A TO247-3;MOSFET (Metal Oxide);250 V;38A (Tc);75mOhm @ 23A, 10V
FDPF44N25TRDTU;MOSFET N-CH 250V 44A TO220F;MOSFET (Metal Oxide);250 V;44A (Tc);69mOhm @ 22A, 10V
IXTP42N25P;MOSFET N-CH 250V 42A TO220AB;MOSFET (Metal Oxide);250 V;42A (Tc);84mOhm @ 500mA, 10V
FQA40N25;MOSFET N-CH 250V 40A TO3PN;MOSFET (Metal Oxide);250 V;40A (Tc);70mOhm @ 20A, 10V
IXFA30N25X3;MOSFET N-CHANNEL 250V 30A TO263;MOSFET (Metal Oxide);250 V;30A (Tc);60mOhm @ 15A, 10V
RJ1U330AAFRGTL;MOSFET N-CH 250V 33A LPTS;MOSFET (Metal Oxide);250 V;33A (Ta);105mOhm @ 16.5A, 10V
FQI27N25TU;MOSFET N-CH 250V 25.5A I2PAK;MOSFET (Metal Oxide);250 V;25.5A (Tc);110mOhm @ 12.75A, 10V
IXFY30N25X3;MOSFET N-CH 250V 30A TO252AA;MOSFET (Metal Oxide);250 V;30A (Tc);60mOhm @ 15A, 10V
IXFJ80N25X3;MOSFET N-CH 250V 44A ISO TO247-3;MOSFET (Metal Oxide);250 V;44A (Tc);18mOhm @ 40A, 10V
FQB27N25TM-F085;FQB27N25 - N-CHANNEL ULTRAFET 25;MOSFET (Metal Oxide);250 V;25.5A (Tc);131mOhm @ 25.5A, 10V
RCJ331N25TL;250V 33A, NCH, TO-263S, POWER MO;MOSFET (Metal Oxide);250 V;33A (Tc);105mOhm @ 16.5A, 10V
FQI27N25TU-F085;25.5A, 250V, 0.11OHM, N-CHANNEL;MOSFET (Metal Oxide);250 V;25.5A (Tc);110mOhm @ 12.75A, 10V
STP52N25M5;MOSFET N-CH 250V 28A TO220;MOSFET (Metal Oxide);250 V;28A (Tc);65mOhm @ 14A, 10V
FQA27N25;MOSFET N-CH 250V 27A TO3PN;MOSFET (Metal Oxide);250 V;27A (Tc);110mOhm @ 13.5A, 10V
FDAF69N25;MOSFET N-CH 250V 34A TO3PF;MOSFET (Metal Oxide);250 V;34A (Tc);41mOhm @ 17A, 10V
FQA34N25;MOSFET N-CH 250V 34A TO3P;MOSFET (Metal Oxide);250 V;34A (Tc);85mOhm @ 17A, 10V
FQI27N25TU;MOSFET N-CH 250V 25.5A I2PAK;MOSFET (Metal Oxide);250 V;25.5A (Tc);110mOhm @ 12.75A, 10V
IPI600N25N3GAKSA1;MOSFET N-CH 250V 25A TO262-3;MOSFET (Metal Oxide);250 V;25A (Tc);60mOhm @ 25A, 10V
RCJ330N25TL;MOSFET N-CH 250V 33A LPTS;MOSFET (Metal Oxide);250 V;33A (Tc);105mOhm @ 16.5A, 10V
FDAF75N28;MOSFET N-CH 280V 46A TO3PF;MOSFET (Metal Oxide);280 V;46A (Tc);41mOhm @ 23A, 10V
FDAF62N28;MOSFET N-CH 280V 36A TO3PF;MOSFET (Metal Oxide);280 V;36A (Tc);51mOhm @ 18A, 10V
AUIRFP4409;MOSFET N-CH 300V 38A TO247AC;MOSFET (Metal Oxide);300 V;38A (Tc);69mOhm @ 24A, 10V
IPP410N30NAKSA1;MOSFET N-CH 300V 44A TO220-3;MOSFET (Metal Oxide);300 V;44A (Tc);41mOhm @ 44A, 10V
IRF300P227;MOSFET N-CH 300V 50A TO247AC;MOSFET (Metal Oxide);300 V;50A (Tc);40mOhm @ 30A, 10V
IXTP36N30P;MOSFET N-CH 300V 36A TO220AB;MOSFET (Metal Oxide);300 V;36A (Tc);110mOhm @ 18A, 10V
APT30M85BVRG;MOSFET N-CH 300V 40A TO247;MOSFET (Metal Oxide);300 V;40A (Tc);85mOhm @ 500mA, 10V
IXFP38N30X3;MOSFET N-CH 300V 38A TO220;MOSFET (Metal Oxide);300 V;38A (Tc);50mOhm @ 19A, 10V
APT30M70BVRG;MOSFET N-CH 300V 48A TO247;MOSFET (Metal Oxide);300 V;48A (Tc);70mOhm @ 500mA, 10V
IXFH50N30Q3;MOSFET N-CH 300V 50A TO247AD;MOSFET (Metal Oxide);300 V;50A (Tc);80mOhm @ 25A, 10V
IXFA38N30X3;MOSFET N-CH 300V 38A TO263;MOSFET (Metal Oxide);300 V;38A (Tc);50mOhm @ 19A, 10V
IXFA36N30P3;MOSFET N-CH 300V 36A TO263AA;MOSFET (Metal Oxide);300 V;36A (Tc);110mOhm @ 18A, 10V
IXTA36N30P;MOSFET N-CH 300V 36A TO263;MOSFET (Metal Oxide);300 V;36A (Tc);110mOhm @ 18A, 10V
IPB407N30NATMA1;MOSFET N-CH 300V 44A D2PAK;MOSFET (Metal Oxide);300 V;44A (Tc);40.7mOhm @ 44A, 10V
FDAF59N30;MOSFET N-CH 300V 34A TO3PF;MOSFET (Metal Oxide);300 V;34A (Tc);56mOhm @ 17A, 10V
STP45N40DM2AG;MOSFET N-CH 400V 38A TO220;MOSFET (Metal Oxide);400 V;38A (Tc);72mOhm @ 19A, 10V
FQH35N40;N-CHANNEL  POWER MOSFET;MOSFET (Metal Oxide);400 V;35A (Tc);105mOhm @ 17.5A, 10V
SIHP25N40D-GE3;MOSFET N-CH 400V 25A TO220AB;MOSFET (Metal Oxide);400 V;25A (Tc);170mOhm @ 13A, 10V
SIHG25N40D-GE3;MOSFET N-CH 400V 25A TO247AC;MOSFET (Metal Oxide);400 V;25A (Tc);170mOhm @ 13A, 10V
FDP26N40;MOSFET N-CH 400V 26A TO220-3;MOSFET (Metal Oxide);400 V;26A (Tc);160mOhm @ 13A, 10V
FQA35N40;MOSFET N-CH 400V 35A TO3P;MOSFET (Metal Oxide);400 V;35A (Tc);105mOhm @ 17.5A, 10V
FQL50N40;MOSFET N-CH 400V 50A TO264-3;MOSFET (Metal Oxide);400 V;50A (Tc);75mOhm @ 25A, 10V
